Country,npvi
Appenzell,34.3953
Belgien,22.3529
Brabant,64.7619
Tschechoslowakei,42.9885
Tschechoslowakei,74.0952
Tschechoslowakei,27.451
Tschechoslowakei,41.3333
Tschechoslowakei,28.4848
Tschechoslowakei,59.7778
Tschechoslowakei,39.8413
Tschechoslowakei,9.6
Tschechoslowakei,15.3846
Tschechoslowakei,25.953
Tschechoslowakei,40.9091
Tschechoslowakei,46.6667
Tschechoslowakei,37.0115
Tschechoslowakei,24.4444
Tschechoslowakei,23.871
Tschechoslowakei,4.44444
Tschechoslowakei,53.7931
Tschechoslowakei,34.4444
Tschechoslowakei,36.4912
Tschechoslowakei,18.9333
Tschechoslowakei,30.5376
Tschechoslowakei,44.5161
Tschechoslowakei,38.125
Tschechoslowakei,44.9573
Tschechoslowakei,24.7619
Tschechoslowakei,34.7826
Tschechoslowakei,66.6667
Tschechoslowakei,58.2993
Tschechoslowakei,97.0408
Tschechoslowakei,0
Tschechoslowakei,49.4885
Tschechoslowakei,48.6466
Tschechoslowakei,55.7483
Tschechoslowakei,18.9333
Tschechoslowakei,28.2251
Tschechoslowakei,35.5209
Tschechoslowakei,48.227
Tschechoslowakei,13.4143
Tschechoslowakei,58.9474
Tschechoslowakei,25.3333
Tschechoslowakei,21.7284
Tschechoslowakei,65.0505
Tschechoslowakei,19.888
Daenemark,20.5495
Nornissom,36.4103
Faeroer,28.0702
Deutschland,45.4663
Deutschland,22.7211
Deutschland,20.346
Deutschland,49.4803
Deutschland,52.8986
Deutschland,14.8148
Deutschland,46.8707
Deutschland,42.7245
Deutschland,30.7029
Deutschland,44.0088
Deutschland,33.3333
Deutschland,45.696
Deutschland,43.1119
Deutschland,40.3228
Deutschland,42.5352
Deutschland,11.8519
Deutschland,77.4962
Deutschland,74.5493
Deutschland,31.6049
Deutschland,31.7262
Deutschland,28.4259
Deutschland,51.3016
Deutschland,40.536
Deutschland,61.9351
Deutschland,35.3714
Deutschland,26.3566
Deutschland,41.6667
Deutschland,48.8613
Deutschland,28.8372
Deutschland,37.56
Deutschland,15.6522
Deutschland,55.9854
Deutschland,45.1429
Deutschland,23.1515
Deutschland,36.1111
Deutschland,41.4853
Deutschland,32.7056
Deutschland,19.899
Deutschland,40.112
Deutschland,48.7354
Deutschland,74.2569
Deutschland,65.0505
Deutschland,51.6595
Deutschland,29.4118
Deutschland,29.6296
Deutschland,29.0411
Deutschland,32.8395
Deutschland,50.5085
Deutschland,26.3492
Deutschland,26.0606
Deutschland,10.2581
Deutschland,27.5776
Deutschland,27.5776
Deutschland,37.1282
Deutschland,43.4212
Deutschland,51.3333
Deutschland;,39.5597
Deutschland,29.1765
Deutschland;,38.6825
Deutschland,51.1111
Deutschland;,7.83427
Deutschland,27.7519
Deutschland,31.9753
Deutschland,26.5233
Deutschland,41.9792
Deutschland,14.4262
Deutschland,15.2381
Deutschland,36.25
Deutschland,34.9425
Deutschland,32.1839
Deutschland,26.5152
Deutschland,42.2764
Deutschland,37.8164
Deutschland,24.3366
Deutschland,53.7729
Deutschland,25.3968
Deutschland,50.6667
Deutschland,48.125
Deutschland;,50.1488
Deutschland,25.1948
Deutschland,52.1039
Deutschland,49.9225
Deutschland,55.4286
Deutschland,19.5402
Deutschland,15.873
Deutschland,21.9608
Deutschland,39.7101
Deutschland;,64.8649
Deutschland,21.2092
Deutschland,40
Deutschland,31.71
Deutschland,45.1541
Deutschland,32.0325
Deutschland,35.4067
Deutschland,19.4444
Deutschland,81.5488
Deutschland,60.9877
Deutschland,27.1111
Deutschland,33.3333
Deutschland,27.0265
Deutschland,57.9365
Deutschland,42.587
Deutschland,75.9586
JUENGST
Deutschland,32.0988
Deutschland,40.4
Deutschland,46.1438
Deutschland,63.3498
Deutschland,46.027
Deutschland,66.786
Deutschland,53.7642
Deutschland,24.3137
Deutschland,20.9004
Deutschland;,41.0221
Deutschland,26.4198
Deutschland,44.058
Deutschland,67.2381
Deutschland,62.1517
Deutschland,62.0677
Deutschland,62.6936
Deutschland,46.6667
Deutschland,19.5349
Deutschland,23.8384
Deutschland,53.1143
Deutschland,44.8611
Deutschland,50.101
Deutschland,50.3704
Deutschland,34.5249
Deutschland,21.5385
Deutschland,40.1042
Deutschland,22.6667
Deutschland,18.4615
Deutschland,38.1315
Deutschland,24.7118
Deutschland,59.0008
Deutschland,57.8005
Deutschland,23.7838
Deutschland,73.4625
Deutschland,24.5817
Deutschland,32.9101
Deutschland,54.8299
Deutschland,75.2
Deutschland,41.697
Deutschland,66.6667
Deutschland,55.0355
Deutschland,37.7534
Deutschland,36.6241
Deutschland,63.2505
Deutschland,41.0417
Deutschland,53.8286
Deutschland,51.8141
Deutschland;,79.4443
Deutschland,34.0741
Deutschland,49.8925
Deutschland,40.1307
Deutschland,47.0833
Deutschland,62.2935
Deutschland,38.3542
Deutschland,72.9609
Deutschland,59.6235
Deutschland,31.462
Deutschland,60.6061
Deutschland,71.0345
Deutschland,72.9762
Deutschland,53.253
Deutschland,26.9048
Deutschland,27.0037
Deutschland,26.8293
Deutschland,33.1746
Deutschland,55.253
Deutschland,43.6054
Deutschland,49.5394
Deutschland,24.2529
Deutschland,42.381
Deutschland,40.8
Deutschland,65.1208
Deutschland,77.3993
Deutschland,41.4035
Deutschland,52.8571
Deutschland,12.7273
Deutschland,75.2
Deutschland,51.5079
Deutschland,40.3704
Deutschland,21.8803
Deutschland,43.5772
Deutschland,25.0489
Deutschland,38.9163
Deutschland,26.6667
Deutschland,45.7895
Deutschland,67.4074
Deutschland,46.1412
Deutschland,24.3636
Deutschland,37.5758
Deutschland,68.466
Deutschland,37.8495
Deutschland,28.642
Deutschland,10.2564
Deutschland,36.5591
Deutschland,34.2593
Deutschland,68.1087
Deutschland,56.0409
Deutschland,18.4739
Deutschland,40.211
Deutschland,48.5714
Deutschland,47.0833
Deutschland,47.3118
Deutschland,28.4848
Deutschland,58.1338
Deutschland,51.5855
Deutschland,53.913
Deutschland,72.7619
Deutschland,67.7083
Deutschland,46.3354
Deutschland,32.5926
Deutschland,31.773
Deutschland,27.2464
Deutschland,34.6916
Deutschland,24.674
Deutschland,49.5652
Deutschland,60.6061
Deutschland,31.2224
Deutschland,31.4286
Deutschland,52.0895
Deutschland;,46.8195
Deutschland,26.6667
Deutschland,52.2222
Deutschland,50.4762
Deutschland,43.9027
Deutschland,56.5949
Deutschland,57.6526
Deutschland,56.7982
Deutschland,26.6667
Deutschland,37.7937
Deutschland,60.3322
Deutschland,54.0707
Deutschland,67.6285
Deutschland,36.4479
Deutschland,68.2524
Deutschland,78.218
Deutschland,63.5921
Deutschland,56.7671
Deutschland,46.7677
Deutschland,38.7348
Deutschland,57.2094
Deutschland,55.2903
Deutschland,66.9307
Deutschland,34.9702
Deutschland,56.0726
Deutschland,33.6125
Deutschland,26.8366
Deutschland,31.1039
Deutschland,37.4847
Deutschland,23.1685
Deutschland,55.8554
Deutschland,55.6614
Deutschland,32.6923
Deutschland,49.8463
Deutschland,53.5014
Deutschland,50.6878
Deutschland,67.0976
Deutschland,43.8549
Deutschland,79.5853
Deutschland,47.7989
Deutschland,58.5622
Deutschland,18.9954
Deutschland,66.3222
Deutschland,35.7576
Deutschland,41.9848
Deutschland,38.3562
Deutschland,27.5048
Deutschland,25.7471
Deutschland,43.9012
Deutschland,49.6825
Deutschland,39.383
Deutschland,52.4542
Deutschland,26.4998
Deutschland,19.2334
Deutschland,75.9184
Deutschland,30.662
Deutschland,24.6914
Deutschland,28.692
Deutschland,37.4721
Deutschland,47.8598
Deutschland,40.7143
Deutschland,93.9683
Deutschland,57.0667
Deutschland,33.1922
Deutschland,26.8864
Deutschland,42.2886
Deutschland,35.5371
Deutschland,52.687
Deutschland,63.1289
Deutschland,67.3389
Deutschland,54.5439
Deutschland,10.2116
Deutschland,60.8264
Deutschland,23.9979
Deutschland,10.4762
Deutschland,20.7752
Deutschland,27.8295
Deutschland,17.6707
Deutschland,19.9005
Deutschland,52.1858
Deutschland,46.1204
Deutschland,45.0585
Deutschland,24.4211
Deutschland,40.6196
Deutschland,39.3501
Deutschland,77.1075
Deutschland,42.9526
Deutschland,42.1456
Deutschland,39.3548
Deutschland,33.251
Deutschland,34.7741
Deutschland,45.4762
Deutschland,67.6781
Deutschland,62.7083
Deutschland,49.3773
Deutschland,40.5415
Deutschland,23.533
Deutschland,36.5166
Deutschland,50.0575
Deutschland,59.3388
Deutschland,35.5844
Deutschland,70.0323
Deutschland,36.3103
Deutschland,41.1852
Deutschland,35.7393
Deutschland,36.9524
Deutschland,64.5041
Deutschland,38.9628
EINMAL
Deutschland,41.5094
Deutschland,39.2503
Deutschland,25.8991
Deutschland,25.8991
Deutschland,42.9116
Deutschland,18.3333
Deutschland,34.2806
Deutschland,78.204
Deutschland,26.4151
GLUECK
Deutschland,18.018
Deutschland,59.8758
Deutschland,47.0522
Deutschland,24.1975
Deutschland,67.7002
Deutschland,68.271
Deutschland,89.0223
Deutschland,54.2157
Deutschland,32.2404
Deutschland,50.3503
Deutschland,40.7143
Deutschland,57.3874
Deutschland,48.0387
Deutschland,54.8148
Deutschland,30.3089
Deutschland,64.2294
Deutschland,40.113
Deutschland,55.6777
Deutschland,25.5399
Deutschland,46.2971
Deutschland,38.7719
Deutschland,42.4879
Deutschland,70.5172
