Harmonic Entropy,nPVIn, Meter, Rhythmic Entropy
5.31926,46.0433,,M6/8,
5.10578,43.8657,,M9/8,
4.57341,45.2014,,M2/4,
4.69255,42.2804,,M2/4,
4.55852,26.3831,,M2/4,
5.29547,49.7708,,M4/4,
5.06156,54.182,,M4/4,
4.91635,29.3393,,M2/4,
5.05342,41.3916,,M2/4,
4.5711,47.3295,,M4/4,
5.25688,39.3101,,M6/8,
5.45645,48.8579,,M4/4,
5.55752,61.6005,,M4/4,
4.80293,47.7408,,M4/4,
5.36048,61.5298,,M4/4,
4.49498,27.0919,,M6/8,
5.09436,56.7023,,M4/4,
4.76574,60.3063,,M4/4,
5.17014,40.6647,,M4/4,
4.52028,36.3218,,M2/4,
4.6938,48.132,,M4/4,
5.171,51.1734,,M4/4,
5.35283,49.0383,,M4/4,
5.07556,58.3836,,M4/4,
5.36497,56.7981,,M6/8,
5.13301,56.6343,,M2/4,
4.63141,41.9685,,M2/4,
4.65497,37.9465,,M4/4,
4.65782,32.7941,,M2/4,
5.01807,62.7141,,M6/8,
5.70043,63.7235,,M4/4,
5.5492,62.4083,,M4/4,
5.45481,59.2614,,M2/4,
5.61838,53.0028,,M3/4,
4.39177,39.5709,,M4/4,
4.80002,38.2416,,M2/4,
4.99903,18.2888,,M2/4,
5.6376,73.8055,,M4/4,
