composer,intervallic_entropy,melodic_entropy, average_nPVI, meter,date,rhythm_entropy
Adam,2.5864,2.8867,29.4286,4/4,1852,1.06227
Albéniz,1.85656,2.54926,48.2258,3/4,1889,1.61433
Albéniz,2.46287,2.89138,15.4082,6/8,1886,0.811278
Albéniz,3.09665,2.38273,21.5873,3/4,1896,0.764205
Albéniz,2.20969,2.55218,38.0952,3/4,1896,0.836641
Albéniz,2.59179,2.97494,66.0513,3/4,1886,2.47291
Albéniz,2.23892,2.14926,62.2857,3/4,1906,2.18872
Albéniz
Albéniz,2.58842,2.59771,57.619,3/4,1906,0.543564
Albéniz,2.03996,2.75489,71.7778,3/4,1906,1.45385
Adam,2.92769,2.90727,33.7778,3/4,1852,0.774243
Albéniz,2.73256,2.56262,20.8333,3/8,1907,0.930586
Albéniz,2.63703,2.85429,42.1164,3/4,1908,0.591673
Albéniz,2.39232,2.8559,66.6667,3/4,1908,1.73604
Albéniz,1.92994,2.75444,26.6667,3/4,1896,0.811278
Albéniz,2.28448,2.89185,43.3333,3/4,1896,1.23664
Albéniz,2.77094,2.61058,33.6202,2/4,1890,1.72957
Albéniz,3.06805,2.80578,39.6825,2/4,1890,0
Albéniz,2.88114,2.76335,21.7787,2/4,1890,1.32748
Albéniz,2.35077,3.09944,24.708,2/4,1890,0.953014
Albéniz,2.80004,2.76031,74.0537,2/4,1889,0
Adam,2.98972,2.89721,22.4561,3/4,1852,0.439497
Adam,2.96933,2.82795,46.8637,3/4,1852,1.33468
Adam,2.59233,2.73995,63.0075,2/4,1852,1.30403
Auber,2.98709,3.08233,42.5641,2/2,1835,0.834347
Auber,2.70114,2.77584,20,2/4,1835,1.02706
Auber,2.84807,2.95381,39.2157,6/8,1835,0
Auber,2.19427,2.089,20.5128,3/4,1835,0.970951
Auber,2.76067,2.94639,39.1837,3/4,1837,1.14007
Auber,3.19196,2.97803,41.7391,3/4,1837,1.21834
Auber,2.64,2.8124,51.6667,3/8,1837,0.999142
Adam,2.76173,2.85367,35.0877,4/4,1852,0.558629
Auber,2.94786,2.73571,112.456,4/4,1830,2.03996
Auber,2.44398,2.82747,18.8125,6/8,1830,1.11965
Auber,2.72323,2.87291,60.3509,6/8,1830,1.2389
Auber,2.67906,2.9569,50.8471,4/4,1828,2.22752
Auber,2.56489,3.04888,92.8587,4/4,1828,1.89404
Aubert,2.3719,2.41383,47.9771,2/4,1907,1.44882
Aubert,2.43899,2.43159,79.2533,2/4,1907,1.46184
Adam,2.60529,2.45714,35.8974,2/4,1852,0.558629
Auric,2.40242,2.53096,26,2/4,1924,1.14332
Auric,2.66396,3.05077,68.1481,2/4,1924,1.71078
Auric,3.01366,2.54928,58.0159,2/4,1924,1.08631
Auric,3.04489,3.15908,41.7792,2/4,1924,1.23322
Auric,2.37043,2.53863,48.5185,4/4,1924,0
Auric,2.60997,2.29193,17.0833,2/4,1924,0
Auric,2.56,2.56161,72.8571,3/4,1924,1.89106
Adam,2.866,2.63685,12.3457,2/4,1852,0.458686
Auric,3.53194,3.23195,30.1587,2/4,1924,0.965636
Auric,2.39759,2.71452,47.0085,2/4,1924,0.996792
Auric,2.03202,2.99917,49.5652,12/8,1924,0.970951
Auric,2.81104,2.60694,59.0476,12/8,1924,1.79902
Auric,1.82823,2.61006,49.6296,2/4,1924,1.37095
Albéniz,2.73451,2.87951,53.6131,3/4,1889,1.8716
Bach,2.85035,2.53369,55.4144,2/4,1770,1.91969
Bach,2.70872,2.89373,76.3194,4/4,1772,1.58496
Beethoven,1.80164,2.17136,86.0317,2/4,1811,1.85429
Beethoven,2.52964,2.41642,104.444,2/4,1811,1.12386
Beethoven,2.98832,2.86309,32.1088,3/4,1812,1.08631
Beethoven,3.16893,2.81376,90.6212,3/4,1812,2.18924
Beethoven,2.70363,2.5942,29.6296,3/4,1812,0.530406
Beethoven,2.52323,2.47291,87.7922,3/4,1812,1.58496
Beethoven,1.95133,2.80575,66.6667,3/4,1812,0.996792
Beethoven,2.70356,3.01514,50.887,2/4,1812,1.45742
Beethoven,2.59358,2.77989,32.3413,2/4,1812,1.29131
Beethoven,2.84644,2.60869,29.0196,2/4,1812,1.50027
Bach,2.10765,2.59582,66.7967,3/4,1741,2.40734
Beethoven,3.21947,3.35327,11.4815,3/4,1812,0.548954
Beethoven,2.43707,2.82585,48.5714,3/4,1812,1.45656
Beethoven,2.29196,2.02315,27.4369,2/2,1812,1.50124
Beethoven,2.73333,3.20899,24.8889,2/2,1812,0.764205
Beethoven,2.71078,2.75272,29.1005,2/2,1812,1.04085
Beethoven,2.25241,2.93988,53.3333,2/2,1812,1.52193
Beethoven,3.12165,2.39208,83.7094,2/4,1822,2.479
Beethoven,2.06631,2.83508,54.1353,2/4,1822,1.29546
Beethoven,2.69238,2.69238,87.5,2/4,1822,0.991076
Beethoven,2.546,3.2575,74.963,2/4,1822,2.16993
Bach,2.96892,2.77736,6.06061,4/4,1723,0.918296
Beethoven,2.35591,2.8314,7.93651,3/4,1822,0.530406
Beethoven,2.43294,2.86139,71.3725,3/4,1822,1.04085
Beethoven,2.089,2.40479,48.2857,2/2,1822,2.03816
Beethoven,2.61006,2.82059,49.0476,4/4,1822,1.92417
Beethoven,2.39374,2.67141,36.5079,3/4,1822,1.49492
Beethoven,2.69835,2.19869,6.06061,3/4,1822,0.49715
Beethoven,2.05792,2.41383,38.3333,4/4,1822,1.48853
Beethoven,2.55415,2.58847,51.5152,3/2,1822,0.836641
Beethoven,2.23346,1.80504,46,2/2,1822,1.78416
Bach,2.58202,3.23127,3.50877,4/4,1723,0.286397
Beethoven,2.80735,2.95021,15.5556,4/4,1797,1.15678
Beethoven,2.76031,2.5048,114.49,3/4,1797,1.53012
Beethoven,2.34805,2.93812,52.987,4/4,1797,1.95915
Beethoven,2.65709,2.71369,74.6667,3/4,1794,1.73827
Beethoven,2.75687,2.68282,27.7778,3/4,1794,0.721928
Beethoven,2.55143,3.00752,6.66667,3/4,1794,0.791858
Beethoven,2.70689,2.65656,14.8148,2/4,1794,0.99403
Beethoven,2.45161,2.4682,30.2222,3/4,1794,0.977418
Beethoven,2.60222,2.43004,52.381,3/4,1794,1.49492
Bach,2.20307,2.93366,21,3/8,1723,1.11828
Beethoven,2.61006,2.68953,15.3846,2/2,1794,0.591673
Beethoven,1.96794,2.65709,53.2653,2/2,1794,1.37095
Beethoven,2.30042,2.95915,10.5263,3/4,1808,0.747585
Beethoven,2.44644,2.64644,31.1111,3/4,1808,1.37878
Beethoven,2.72821,2.8037,18.0952,4/4,1808,0.905587
Beethoven,2.59353,2.62948,53.3333,4/4,1810,1.69227
Beethoven,2.11357,2.86669,16.8116,4/4,1810,0.816689
Beethoven,2.12661,2.72722,42,3/4,1810,1.67674
Beethoven,2.42594,2.75386,23.5294,3/4,1810,0.591673
